Filtering the log data using "processImagePath BEGINSWITH "/Users/tyler.hackett/Library/Developer/CoreSimulator/Devices/F875505B-B6AE-445A-83C5-DDA0B4489670/data/Containers/Bundle/Application/07B1231A-66B9-4F07-9E09-5AA754E6538B/AvaxWallet.app""
Timestamp               Ty Process[PID:TID]
2023-01-13 11:14:01.547 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.551 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.551 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.551 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.554 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.554 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.554 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.556 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.556 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.556 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.556 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.557 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.557 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.558 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.558 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.558 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.559 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.559 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.559 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.561 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.561 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.561 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.562 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.562 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.562 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.563 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.563 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.563 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.565 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.565 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.565 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.565 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.566 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.566 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.566 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.566 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.566 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.566 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.566 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.566 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.568 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.568 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.568 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.568 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.568 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.568 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.570 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.570 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.570 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.574 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.574 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.574 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.575 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.575 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.575 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.577 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.577 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.577 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.578 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.578 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.578 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.580 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.580 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.580 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.582 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.582 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.582 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.583 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.583 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.583 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.585 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.585 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.585 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.586 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.586 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.586 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.586 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
2023-01-13 11:14:01.586 E  AvaxWallet[51012:1d284c0] [com.apple.coreanimation:API] Failed to get renderer info (client=0x9552503d) [0x5 (os/kern) failure]
